Time_s,Altitude_m,Velocity_ms,Acceleration_ms2
12.560000,48.965737,51.151384,6.736508
12.580000,47.941369,51.285948,6.719955
12.600000,46.914313,51.420182,6.703395
12.620000,45.884574,51.554084,6.686830
12.640000,44.852159,51.687655,6.670258
12.660000,43.817076,51.820895,6.653680
12.680000,42.779330,51.953802,6.637097
12.700000,41.738928,52.086378,6.620510
12.720000,40.695877,52.218623,6.603917
12.740000,39.650184,52.350535,6.587320
12.760000,38.601855,52.482116,6.570719
12.780000,37.550896,52.613364,6.554114
12.800000,36.497315,52.744280,6.537506
12.820000,35.441117,52.874864,6.520894
12.840000,34.382311,53.005116,6.504280
12.860000,33.320901,53.135035,6.487663
12.880000,32.256896,53.264622,6.471045
12.900000,31.190301,53.393877,6.454424
12.920000,30.121123,53.522799,6.437802
12.940000,29.049369,53.651389,6.421178
12.960000,27.975046,53.779647,6.404554
12.980000,26.898160,53.907571,6.387929
13.000000,25.818718,54.035164,6.371304
13.020000,24.736726,54.162424,6.354679
13.040000,23.652191,54.289351,6.338054
13.060000,22.565121,54.415946,6.321430
13.080000,21.475521,54.542208,6.304807
13.100000,20.383398,54.668138,6.288185
13.120000,19.288759,54.793735,6.271565
13.140000,18.191611,54.919001,6.254947
13.160000,17.091960,55.043933,6.238331
13.180000,15.989813,55.168534,6.221717
13.200000,14.885177,55.292802,6.205106
13.220000,13.778058,55.416738,6.188499
13.240000,12.668463,55.540342,6.171894
13.260000,11.556399,55.663614,6.155294
13.280000,10.441872,55.786554,6.138698
13.300000,9.324889,55.909162,6.122106
13.320000,8.205458,56.031438,6.105518
13.340000,7.083584,56.153382,6.088936
13.360000,5.959274,56.274995,6.072359
13.380000,4.832536,56.396277,6.055787
13.400000,3.703375,56.517227,6.039221
13.420000,2.571799,56.637846,6.022662
13.440000,1.437814,56.758133,6.006108
13.460000,0.301426,56.878090,5.997833
