Sample,Time_ms,Pressure_Pa
8991,70207,102141
8992,70212,102140
8993,70222,102140
8994,70227,102140
8995,70238,102140
8996,70242,102140
8997,70253,102140
8998,70258,102141
8999,70269,102141
9000,70324,102140
9001,70334,102140
9002,70339,102140
9003,70350,102140
9004,70355,102140
9005,70365,102140
9006,70370,102139
9007,70381,102139
9008,70385,102140
9009,70396,102140
9010,70401,102140
9011,70412,102140
9012,70416,102139
9013,70427,102139
9014,70432,102140
9015,70442,102140
9016,70447,102140
9017,70458,102140
9018,70463,102140
9019,70473,102140
9020,70478,102140
9021,70489,102140
9022,70494,102141
9023,70504,102141
9024,70509,102141
9025,70520,102141
9026,70524,102141
9027,70535,102141
9028,70540,102141
9029,70551,102141
9030,70555,102141
9031,70566,102141
9032,70571,102141
9033,70581,102141
9034,70586,102141
9035,70597,102141
9036,70602,102141
9037,70612,102141
9038,70617,102140
9039,70628,102140
9040,70633,102141
9041,70643,102141
9042,70648,102141
9043,70659,102141
9044,70663,102141
9045,70674,102141
9046,70679,102142
9047,70689,102142
9048,70694,102142
9049,70705,102142
9050,70710,102142
9051,70720,102142
9052,70725,102141
9053,70736,102141
9054,70741,102142
9055,70751,102142
9056,70756,102141
9057,70767,102141
9058,70771,102142
9059,70782,102142
9060,70787,102143
9061,70798,102143
9062,70802,102144
9063,70813,102144
9064,70818,102144
9065,70828,102144
9066,70833,102144
9067,70844,102144
9068,70849,102145
9069,70859,102145
9070,70864,102143
9071,70875,102143
9072,70880,102142
9073,70890,102142
9074,70895,102142
9075,70906,102142
9076,70911,102142
9077,70921,102142
9078,70926,102141
9079,70937,102141
9080,70941,102141
9081,70952,102141
9082,70957,102143
9083,70967,102143
9084,70972,102143
9085,70983,102143
9086,70988,102143
9087,70998,102143
9088,71003,102143
9089,71014,102143
9090,71019,102143
9091,71029,102143
9092,71034,102142
9093,71045,102142
9094,71050,102142
9095,71060,102142
9096,71065,102142
9097,71076,102142
9098,71080,102141
9099,71091,102141
9100,71096,102140
9101,71107,102140
9102,71111,102139
9103,71122,102139
9104,71127,102140
9105,71137,102140
9106,71142,102140
9107,71153,102140
9108,71158,102141
9109,71168,102141
9110,71173,102141
9111,71184,102141
9112,71188,102142
9113,71199,102142
9114,71204,102142
9115,71215,102142
9116,71219,102142
9117,71230,102142
9118,71235,102142
9119,71245,102142
9120,71250,102142
9121,71261,102142
9122,71266,102142
9123,71276,102142
9124,71281,102143
9125,71292,102143
9126,71297,102142
9127,71307,102142
9128,71312,102142
9129,71323,102142
9130,71327,102142
9131,71338,102142
9132,71343,102142
9133,71354,102142
9134,71358,102142
9135,71369,102142
9136,71374,102141
9137,71384,102141
9138,71389,102142
9139,71400,102142
9140,71405,102142
9141,71415,102142
9142,71420,102142
9143,71431,102142
9144,71436,102142
9145,71446,102142
9146,71451,102141
9147,71462,102141
9148,71466,102142
9149,71477,102142
9150,71482,102141
9151,71493,102141
9152,71497,102140
9153,71508,102140
9154,71513,102140
9155,71523,102140
9156,71528,102140
9157,71539,102140
9158,71544,102140
9159,71554,102140
9160,71559,102141
9161,71570,102141
9162,71575,102141
9163,71585,102141
9164,71590,102140
9165,71601,102140
9166,71605,102140
9167,71616,102140
9168,71621,102141
9169,71631,102141
9170,71636,102140
9171,71647,102140
9172,71652,102139
9173,71662,102139
9174,71667,102139
9175,71678,102139
9176,71683,102139
9177,71693,102139
9178,71698,102140
9179,71709,102140
9180,71714,102140
9181,71724,102140
9182,71729,102141
9183,71740,102141
9184,71744,102141
9185,71755,102141
9186,71760,102140
9187,71771,102140
9188,71775,102140
9189,71786,102140
9190,71791,102139
9191,71801,102139
9192,71806,102139
9193,71817,102139
9194,71822,102139
9195,71832,102139
9196,71837,102139
9197,71848,102139
9198,71852,102140
9199,71863,102140
9200,71868,102139
9201,71879,102139
9202,71883,102140
9203,71894,102140
9204,71899,102140
9205,71909,102140
9206,71914,102140
9207,71925,102140
9208,71930,102140
9209,71940,102140
9210,71945,102140
9211,71956,102140
9212,71961,102139
9213,71971,102139
9214,71976,102140
9215,71987,102140
9216,71991,102140
9217,72002,102140
9218,72007,102140
9219,72018,102140
9220,72022,102141
9221,72033,102141
9222,72038,102140
9223,72048,102140
9224,72053,102141
9225,72064,102141
9226,72069,102141
9227,72079,102141
9228,72084,102141
9229,72095,102141
9230,72100,102141
9231,72110,102141
9232,72115,102140
9233,72126,102140
9234,72130,102140
9235,72141,102140
9236,72146,102140
9237,72157,102140
9238,72161,102140
